Time,Q1,Q2,T1,T2,TSP1,TSP2
3.170172331333160400e+02,4.922889037046449090e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.183082318305969238e+02,4.924012205913083307e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.193162281513214111e+02,4.924889162712113944e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.203002266883850098e+02,4.925745241439359035e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.213162245750427246e+02,4.926629159600751251e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.223322286605834961e+02,4.927513083155172069e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.251872329711914062e+02,4.929996936905401128e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.262062315940856934e+02,4.930883465707319147e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.272672300338745117e+02,4.931806534349935589e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.282802627086639404e+02,4.932687872777002269e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.292602281570434570e+02,4.933540442717092134e+01,0.000000000000000000e+00,4.995649999999999835e+01,2.578399999999999892e+01,5.000000000000000000e+01,2.094949999999999690e+01
